currency,date,rate,pct_change,rolling_vol_7d
BAM,2025-12-16,1.662445,-0.10371530329515988,0.3674195036942531
BAM,2025-12-17,1.664936,0.14983954356384555,0.35883701901593995
BAM,2025-12-18,1.669612,0.2808516363391744,0.371356976271303
BAM,2025-12-22,1.668209,-0.08403149953402078,0.367709193322723
BAM,2025-12-23,1.661017,-0.4311210405890442,0.38709422240180685
BAM,2026-01-02,1.66801,0.42100712996917533,0.4446862328600971
BAM,2026-01-05,1.674235,0.3731992014436303,0.30796922572404317
BAM,2026-01-06,1.670011,-0.2522943314409276,0.3277546874841449
BAM,2026-01-07,1.674071,0.24311217111745442,0.3336057739100351
BAM,2026-01-08,1.675498,0.08524130696965226,0.32183285036591897
BAM,2026-01-09,1.679317,0.22793223268544605,0.3216610421457626
BAM,2026-01-12,1.676201,-0.18555162604796394,0.26265954251099455
BAM,2026-01-13,1.676331,0.007755633125139383,0.23098141687183651
BAM,2026-01-14,1.679216,0.17210204905833137,0.1972190781591997
BAM,2026-01-15,1.680508,0.0769406675496187,0.1483770760603097
BAM,2026-01-16,1.683046,0.1510257612579169,0.13607535221460018
BAM,2026-01-19,1.681396,-0.0980365361374691,0.1509327076014962
BAM,2026-01-20,1.679634,-0.10479387366211235,0.1374628659808726
BAM,2026-01-21,1.668657,-0.6535352344617995,0.28206611959110384
BAM,2026-01-22,1.670938,0.13669675673311232,0.29158844463579403
BAM,2026-01-23,1.665716,-0.3125190761117391,0.288787120152412
BAM,2026-01-26,1.649698,-0.9616285129037561,0.41361580408862425
BAM,2026-01-27,1.642094,-0.4609328495276177,0.37425840790967513
BAM,2026-01-28,1.633386,-0.5302985090987478,0.36105369554735417
BBD,2025-12-01,2.0,,
BBD,2025-12-02,2.0,0.0,
BBD,2025-12-03,2.0,0.0,0.0
BBD,2025-12-07,2.0,0.0,0.0
BBD,2025-12-08,2.0,0.0,0.0
BBD,2025-12-15,2.0,0.0,0.0
BBD,2025-12-16,2.0,0.0,0.0
BBD,2025-12-17,2.0,0.0,0.0
BBD,2025-12-18,2.0,0.0,0.0
BBD,2025-12-22,2.0,0.0,0.0
BBD,2025-12-23,2.0,0.0,0.0
BBD,2026-01-02,2.0,0.0,0.0
BBD,2026-01-05,2.0,0.0,0.0
BBD,2026-01-06,2.0,0.0,0.0
BBD,2026-01-07,2.0,0.0,0.0
BBD,2026-01-08,2.0,0.0,0.0
BBD,2026-01-09,2.0,0.0,0.0
BBD,2026-01-12,2.0,0.0,0.0
BBD,2026-01-13,2.0,0.0,0.0
BBD,2026-01-14,2.0,0.0,0.0
BBD,2026-01-15,2.0,0.0,0.0
BBD,2026-01-16,2.0,0.0,0.0
BBD,2026-01-19,2.0,0.0,0.0
BBD,2026-01-20,2.0,0.0,0.0
BBD,2026-01-21,2.0,0.0,0.0
BBD,2026-01-22,2.0,0.0,0.0
BBD,2026-01-23,2.0,0.0,0.0
BBD,2026-01-26,2.0,0.0,0.0
BBD,2026-01-27,2.0,0.0,0.0
BBD,2026-01-28,2.0,0.0,0.0
BDT,2025-12-01,122.055615,,
BDT,2025-12-02,122.230447,0.143239620725355,
BDT,2025-12-03,122.30711,0.06272005206688913,0.05693593301661702
BDT,2025-12-07,122.345774,0.0316122259777174,0.057607541518862014
BDT,2025-12-08,122.251567,-0.07700061630245836,0.09116658274961435
BDT,2025-12-15,122.170785,-0.06607849860934545,0.09214175540607783
BDT,2025-12-16,122.189627,0.015422672449894037,0.08242630708752594
BDT,2025-12-17,122.121172,-0.056023577189578955,0.08031996916113544
BDT,2025-12-18,122.367984,0.20210418550519194,0.09800928062232815
BDT,2025-12-22,122.170436,-0.16143765186162895,0.11533041045250324
BDT,2025-12-23,122.154601,-0.012961400907163245,0.11348474631290796
BDT,2026-01-02,122.256482,0.08340332592138289,0.11674216288403527
BDT,2026-01-05,122.276202,0.01613002409148745,0.11298724996358767
BDT,2026-01-06,122.148546,-0.10439970976527935,0.1212250864134945
BDT,2026-01-07,122.264167,0.09465605918879128,0.12394853004500991
BDT,2026-01-08,122.246875,-0.014143146290768183,0.09319545093344035
BDT,2026-01-09,122.221094,-0.02108929164856832,0.0678736233195425
BDT,2026-01-12,122.308334,0.07137884070977929,0.07135519934309655
BDT,2026-01-13,122.2186,-0.07336703646049214,0.07200216745522987
BDT,2026-01-14,122.202092,-0.013506945751307065,0.0714627625729735
BDT,2026-01-15,122.296074,0.07690703036411506,0.06336857469071766
BDT,2026-01-16,122.300039,0.0032421318774344954,0.05339542225900874
BDT,2026-01-19,122.2695,-0.02497055622362465,0.05416671220645786
BDT,2026-01-20,122.27063,0.0009241879618482329,0.05318852521382767
BDT,2026-01-21,122.25119,-0.015899157467336167,0.04482627243764664
